D_loss,G_loss
1.693,1.938
1.012,2.986
0.7856,3.632
0.6223,3.921
0.457,4.028
0.2864,4.065
0.197,4.013
0.1524,3.876
0.113,3.847
0.09546,3.995
0.07193,4.126
0.06186,4.217
0.05044,4.391
0.04137,4.523
0.03687,4.716
0.03197,4.873
0.02906,4.941
0.02933,5.105
0.0229,5.22
0.02142,5.354
0.01733,5.196
0.0183,5.306
0.01802,5.294
0.01752,5.175
0.02257,5.375
0.01953,5.251
0.02084,5.232
0.02248,5.485
0.02411,5.294
0.02008,5.622
0.02558,5.578
0.03147,5.723
0.02188,5.753
0.02758,6.028
0.02266,5.733
0.02287,6.313
0.01906,6.286
0.03468,6.399
0.01991,6.502
0.02425,6.598
0.03056,6.532
0.03284,6.364
0.05561,6.4
0.05377,6.172
0.04698,6.284
0.04403,6.17
0.05422,5.955
0.06864,5.728
0.08679,5.851
0.05301,5.943
0.05066,6.274
0.07505,6.159
0.04628,6.528
0.07213,6.637
0.09172,6.473
0.07371,6.178
0.07,6.194
0.07703,5.777
0.06652,5.295
0.08596,5.102
0.06155,5.34
0.08842,5.762
0.09853,5.682
0.08005,5.617
0.07595,5.806
0.07738,6.036
0.08212,5.753
0.09093,5.829
0.07043,5.598
0.06475,5.191
0.06296,5.201
0.07736,5.081
0.06567,5.29
0.07438,5.46
0.08276,5.276
0.07789,5.349
0.07729,5.356
0.0656,5.242
0.07078,4.993
0.07987,4.999
0.08161,5.036
0.08671,4.759
0.1036,4.804
0.09254,4.713
0.1004,4.72
0.1055,4.57
0.1092,4.857
0.1116,4.584
0.1328,4.425
0.1413,4.265
0.1005,4.444
0.1289,4.508
0.1237,4.668
0.1356,4.511
0.1654,4.099
0.1522,3.845
0.155,3.921
0.1588,4.291
0.1528,4.211
0.1828,4.104
0.238,3.777
0.1901,3.798
0.2312,3.974
0.2711,4.142
0.2701,4.039
0.2477,3.758
0.2893,3.721
0.3404,3.625
0.2804,3.671
0.3172,3.906
0.3448,4.028
0.3429,3.844
0.3639,3.466
0.3722,3.521
0.3022,3.879
0.3775,4.097
0.335,3.701
0.3253,3.522
0.32,4.007
0.3571,4.077
0.3082,3.852
0.2922,3.942
0.3171,3.906
0.2799,4.058
0.3271,4.044
0.3369,4.004
0.3212,3.894
0.2562,3.955
0.2935,4.327
0.2803,4.156
0.2311,4.082
0.2862,4.039
0.2774,3.98
0.2432,4.239
0.2653,4.49
0.2268,4.544
0.2423,4.582
0.2137,4.426
0.2846,4.272
0.211,4.574
0.2445,4.655
0.215,4.676
0.2574,4.658
0.2457,4.44
0.2471,4.534
0.2478,4.621
0.2388,4.92
0.2222,5.067
0.2707,4.607
0.2731,4.698
0.269,4.686
0.2797,4.939
0.2429,4.724
0.2516,4.7
0.1996,4.902
0.2309,5.203
0.204,5.158
0.205,5.114
0.213,4.951
0.2199,4.85
0.1789,4.949
0.183,5.158
0.1983,5.587
0.2291,5.523
0.134,5.667
0.2127,5.151
0.1272,5.388
0.1187,5.582
0.1302,5.223
0.1378,5.273
0.09509,5.294
0.176,5.615
0.1798,5.647
0.1599,5.362
0.1308,5.187
0.1403,5.376
0.1113,5.526
0.07939,5.629
0.08539,5.466
0.1099,5.43
0.0665,5.369
0.09263,5.498
0.09891,5.751
0.07608,5.63
0.1617,5.558
0.1108,5.356
0.131,5.106
0.1177,5.222
0.1517,5.295
0.1603,5.236
0.1624,5.453
0.1893,5.256
0.1331,5.402
0.1526,5.667
0.1465,5.378
0.112,5.379
0.1089,5.304
0.1417,5.424
0.1148,5.486
0.09589,5.543
0.06041,5.75
0.06833,5.9
0.07365,5.677
0.09376,5.784
0.07599,5.69
0.1005,5.616
0.1242,5.372
0.08991,5.125
0.1392,5.631
0.1243,5.775
0.1058,5.847
0.1803,5.796
0.1478,5.673
0.08534,5.242
0.05433,5.327
0.08955,5.346
0.07557,5.437
0.1024,5.653
0.04467,5.93
0.0968,5.791
0.06789,5.839
0.05045,5.781
0.09293,5.59
0.05566,5.545
0.08535,5.374
0.0561,5.406
0.07374,5.544
0.09716,5.641
0.05135,5.862
0.06034,5.954
0.06398,5.955
0.07922,6.059
0.1118,5.967
0.09604,5.589
0.06665,5.495
0.07512,5.425
0.081,5.383
0.1204,5.849
0.09981,5.947
0.1202,6.128
0.07945,6.093
0.08118,5.937
0.06488,5.87
0.08909,5.813
0.09192,5.629
0.07143,5.465
0.1251,5.316
0.06534,5.236
0.04316,5.587
0.08304,5.677
0.03231,5.731
0.06851,5.899
0.05512,5.888
0.0309,6.1
0.09228,5.787
0.03636,5.819
0.05076,5.501
0.0414,5.532
0.07276,5.324
0.05074,5.295
0.09034,5.505
0.07033,5.383
0.08063,5.515
0.0283,5.712
0.05538,5.7
0.04603,5.781
0.05314,5.78
0.02768,5.829
0.03771,5.792
0.06376,5.668
0.03701,5.618
0.03822,5.664
0.03118,5.636
0.05008,5.494
0.04305,5.489
0.06999,5.383
0.07066,5.314
0.05754,5.548
0.05714,5.683
0.04481,5.954
0.03218,5.897
0.07214,6.059
0.04477,6.228
0.02097,5.972
0.02914,6.114
0.02424,5.831
0.07183,5.695
0.04743,5.576
0.05694,5.409
0.0508,5.39
0.03674,5.309
0.0491,5.679
0.03082,5.742
0.04477,6.077
0.01977,6.123
0.01848,6.26
0.0404,6.253
0.01704,6.159
0.02799,6.069
0.01711,6.029
0.02654,5.716
0.0207,5.838
0.05931,5.744
0.02994,5.653
0.0521,5.446
0.05167,5.691
0.06914,5.885
0.03295,5.977
0.07054,5.875
0.07191,6.096
0.05281,5.94
0.02901,5.956
0.03847,5.861
0.018,5.61
0.03114,5.635
0.02959,5.713
0.02736,5.527
0.02624,5.753
0.01934,5.865
0.04288,5.995
0.01909,6.069
0.03205,5.981
0.0504,5.964
0.05803,5.71
